Symbol,P2018S,P2018E,ROI,P2022
CNP,24.88,25.79,3.62,27.91
PG,82.16,85.10,3.57,163.58
GPC,84.67,87.66,3.53,140.20
CDNS,42.00,43.48,3.52,186.35
PNW,73.51,76.03,3.41,70.59
KR,25.12,25.96,3.32,45.26
CRL,109.81,113.18,3.06,376.78
ROP,255.11,262.63,2.94,491.86
EL,123.66,127.05,2.74,370.20
BRK.B,198.87,204.18,2.67,299.00
GPN,99.53,101.98,2.45,135.18
UHS,112.47,115.21,2.43,129.66
LNT,37.85,38.73,2.33,61.47
DIS,105.94,108.32,2.24,154.89
SPG,139.49,142.54,2.18,159.77
CCI,96.57,98.67,2.17,208.74
RL,96.31,98.31,2.07,118.86
NI,22.53,22.99,2.04,27.61
VTR,49.85,50.80,1.90,51.12
AWK,84.98,86.55,1.85,188.86
LIN,147.08,149.07,1.35,346.43
SYK,149.86,151.74,1.24,267.42
SPGI,163.67,165.57,1.16,471.93
LOW,86.74,87.72,1.13,258.48
AVGO,225.04,227.35,1.02,665.41
A,65.44,66.09,0.99,159.65
LUMN,11.69,11.79,0.86,12.55
AVB,156.12,157.44,0.84,252.59
FRC,84.68,85.26,0.68,206.51
BAX,63.11,63.51,0.63,85.84
ALLE,76.65,77.06,0.53,132.44
PSA,184.71,184.94,0.12,374.56
RE,203.02,203.24,0.10,273.92
GNRC,49.66,49.70,0.08,351.92
WST,97.43,97.02,-0.41,469.01
TMUS,63.90,63.61,-0.45,115.98
MMC,76.68,76.16,-0.67,173.82
SBAC,160.33,159.16,-0.72,389.02
GOOGL,1053.02,1044.96,-0.76,2897.04
APD,151.49,150.09,-0.91,304.26
HPQ,18.93,18.74,-1.00,37.67
XYL,65.08,64.41,-1.03,119.92
MAA,88.19,87.23,-1.08,229.44
GOOG,1048.34,1035.61,-1.21,2893.59
WLTW,147.90,145.83,-1.39,237.49
ABBV,80.09,78.95,-1.41,135.40
PAYX,60.55,59.66,-1.47,136.50
REGN,379.48,373.50,-1.57,631.52
BKNG,1750.09,1722.42,-1.58,2399.23
VFC,67.40,66.15,-1.84,73.22
ADI,82.56,81.01,-1.87,175.77
SNPS,85.90,84.24,-1.93,368.50
DRE,24.52,24.01,-2.07,65.64
KMB,105.91,103.55,-2.22,142.92
FAST,24.71,24.12,-2.35,64.06
KMX,64.26,62.73,-2.38,130.23
BIO,238.67,232.22,-2.70,755.57
WAT,194.12,188.65,-2.81,372.60
HSY,103.55,100.57,-2.88,193.47
DE,147.31,142.90,-2.99,342.89
AXP,94.09,91.23,-3.04,163.60
DLR,99.58,96.43,-3.15,176.87
SHW,132.53,128.07,-3.36,352.16
PPL,24.82,23.96,-3.46,30.06
ANSS,148.15,142.94,-3.51,401.12
SO,40.05,38.62,-3.59,68.58
FLT,192.80,185.72,-3.67,223.84
IEX,126.68,122.00,-3.68,236.32
HOLX,42.75,41.10,-3.85,76.56
ORCL,44.75,42.98,-3.95,87.21
WMT,92.03,88.38,-3.96,144.69
STX,35.21,33.76,-4.10,112.98
GLW,29.05,27.81,-4.26,37.23
CHRW,81.88,78.35,-4.30,107.63
MCO,142.64,136.46,-4.33,390.58
JNPR,25.61,24.47,-4.43,35.71
WBA,63.98,61.08,-4.54,52.16
PEP,106.41,101.28,-4.82,173.71
JNJ,126.48,120.04,-5.09,171.07
MDLZ,39.60,37.54,-5.19,66.31
EXPE,117.57,110.93,-5.64,180.72
AAPL,40.68,38.28,-5.90,177.57
ALGN,222.61,209.43,-5.92,657.18
ODFL,86.56,81.43,-5.92,358.38
HPE,12.84,12.06,-6.09,15.77
AKAM,65.13,61.08,-6.21,117.04
BIIB,321.15,300.92,-6.29,239.92
PLD,58.38,54.68,-6.32,168.36
ED,72.84,68.18,-6.39,85.32
AME,70.89,66.32,-6.43,147.04
TTWO,110.03,102.94,-6.44,177.72
ACN,144.72,135.37,-6.46,414.55
WU,16.25,15.13,-6.92,17.84
CI,200.42,186.50,-6.94,229.63
NEM,33.89,31.52,-7.00,62.02
FTV,60.36,56.10,-7.05,76.29
JPM,96.06,89.10,-7.24,158.35
EIX,53.97,50.05,-7.25,68.25
APH,42.53,39.33,-7.52,87.46
HD,173.28,160.02,-7.64,415.01
CVS,64.91,59.88,-7.74,103.16
D,68.45,63.14,-7.76,78.56
TXN,95.19,87.78,-7.78,188.47
QCOM,57.21,52.57,-8.10,182.87
IRM,28.44,26.11,-8.18,52.33
CBRE,43.68,40.04,-8.33,108.51
MPC,56.29,51.58,-8.37,63.99
HAS,81.71,74.44,-8.89,101.78
L,49.19,44.80,-8.93,57.76
KSU,102.03,92.86,-8.98,xx
FRT,115.71,105.17,-9.10,136.32
MTD,622.44,565.58,-9.13,1697.21
DAL,53.09,48.24,-9.13,39.08
ARE,117.65,106.71,-9.29,222.96
TROW,92.69,84.05,-9.31,196.64
QRVO,67.06,60.73,-9.43,156.39
HON,138.17,125.00,-9.53,208.51
AIZ,93.29,84.21,-9.72,155.86
CB,134.44,121.25,-9.81,193.31
CTSH,67.73,61.06,-9.83,88.72
HLT,79.02,71.22,-9.86,155.99
TRV,123.82,111.34,-10.08,156.43
CVX,104.60,93.98,-10.15,117.35
ETN,70.18,62.92,-10.35,172.82
IFF,139.41,124.95,-10.36,150.65
ANET,58.89,52.67,-10.56,143.75
GILD,62.04,55.46,-10.60,72.61
TFC,43.51,38.84,-10.72,58.55
BF.B,52.13,46.34,-11.10,72.86
PPG,109.47,97.29,-11.12,172.44
BXP,113.67,101.02,-11.13,115.18
J,64.35,57.08,-11.30,139.23
BK,48.96,43.32,-11.52,58.08
DOV,76.23,67.39,-11.59,181.60
REG,59.06,51.85,-12.20,75.35
EMR,62.83,55.06,-12.37,92.97
KMI,14.61,12.80,-12.41,15.86
HST,17.91,15.63,-12.72,17.39
PSX,86.43,75.43,-12.73,72.46
BMY,54.31,47.21,-13.07,62.35
KLAC,97.59,84.79,-13.11,430.11
USB,47.40,41.18,-13.12,56.17
K,58.94,51.04,-13.40,64.42
OXY,62.15,53.81,-13.42,28.99
ZBH,117.40,101.50,-13.54,127.04
WAB,79.73,68.91,-13.56,92.11
HES,44.71,38.43,-14.04,74.03
DGX,91.06,78.24,-14.08,173.01
CMCSA,37.59,32.22,-14.27,50.33
RTX,116.78,99.37,-14.90,86.06
SNA,158.16,134.45,-14.99,215.38
CE,99.20,84.28,-15.04,168.06
KIM,15.00,12.71,-15.23,24.65
MRO,16.27,13.78,-15.25,16.42
XOM,66.97,56.73,-15.28,61.19
MTB,153.97,130.36,-15.33,153.58
GM,37.54,31.70,-15.56,58.63
BAC,27.29,23.02,-15.63,44.49
CHTR,338.43,284.97,-15.79,651.97
VLO,75.88,63.75,-15.97,75.11
UPS,106.39,89.25,-16.10,214.34
ALK,70.62,59.21,-16.15,52.10
RJF,56.26,47.16,-16.17,100.40
MET,43.69,36.60,-16.22,62.49
DLTR,107.99,90.32,-16.36,140.52
LMT,289.33,241.36,-16.58,355.41
RCL,113.26,94.27,-16.76,76.90
LDOS,60.57,50.36,-16.85,88.90
MMM,207.50,172.11,-17.05,177.63
HBAN,12.50,10.36,-17.09,15.42
PCAR,62.16,51.53,-17.09,88.26
NUE,57.45,47.58,-17.17,114.15
MCHP,41.75,34.49,-17.36,87.06
PNC,128.35,105.86,-17.52,200.52
ABC,86.03,70.65,-17.86,132.89
GL,88.47,72.66,-17.87,93.72
VNO,63.93,52.49,-17.89,41.86
CAT,143.23,117.56,-17.91,206.74
HII,219.09,178.66,-18.45,186.74
NTRS,94.18,76.56,-18.70,119.61
SCHW,48.85,39.71,-18.71,84.10
TXT,56.52,45.75,-19.06,77.20
NOC,287.69,232.80,-19.07,387.07
JBHT,112.03,90.64,-19.09,204.40
MAR,131.79,106.57,-19.13,165.24
CL,68.56,55.43,-19.15,85.34
TRMB,40.74,32.91,-19.21,87.19
EOG,97.70,78.91,-19.23,88.83
HIG,51.10,41.23,-19.32,69.04
TEL,88.83,71.56,-19.44,161.34
ALL,95.86,77.22,-19.44,117.65
SIVB,235.89,189.92,-19.48,678.24
CMA,74.34,59.73,-19.65,87.00
EMN,82.79,66.41,-19.78,120.91
EFX,113.29,90.48,-20.13,292.79
CTRA,25.59,20.40,-20.26,19.00
JCI,34.67,27.64,-20.28,81.31
PBCT,15.65,12.47,-20.32,17.82
BBY,61.31,48.83,-20.35,101.60
ZION,46.73,37.21,-20.36,63.16
PNR,45.20,35.96,-20.43,73.03
EQIX,421.54,335.27,-20.46,845.84
AVY,108.38,85.72,-20.90,216.57
LVS,61.49,48.57,-21.00,37.64
LH,160.00,126.36,-21.02,314.21
RF,15.11,11.92,-21.07,21.80
NCLH,53.76,42.39,-21.14,20.74
PHM,31.75,25.01,-21.23,57.16
GD,185.11,145.53,-21.38,208.47
FMC,89.63,70.30,-21.56,109.89
TPR,39.91,31.27,-21.65,40.60
MLM,215.04,167.53,-22.09,440.52
DFS,70.66,55.04,-22.10,115.56
LYB,78.38,61.00,-22.17,92.23
WFC,54.11,42.04,-22.29,47.98
ITW,151.65,117.82,-22.30,246.80
ROK,182.98,142.09,-22.34,348.85
BLK,473.14,367.34,-22.36,915.56
MNST,63.40,49.22,-22.36,96.04
CERN,65.53,50.87,-22.36,92.87
CMI,158.76,123.09,-22.46,218.14
FITB,27.04,20.96,-22.48,43.55
LEG,41.22,31.91,-22.58,41.16
T,30.19,23.37,-22.59,24.60
SJM,110.25,85.26,-22.66,135.82
GPS,31.14,24.07,-22.70,17.65
IBM,121.81,93.69,-23.07,133.66
VMC,124.85,95.99,-23.11,207.58
COF,93.75,72.03,-23.16,145.09
MS,47.59,36.55,-23.19,98.16
PWR,38.86,29.77,-23.39,114.66
MU,41.43,31.65,-23.61,93.15
VIAC,53.01,40.38,-23.82,30.18
DD,94.82,72.03,-24.03,80.78
BEN,34.52,26.21,-24.05,33.49
PH,187.06,141.80,-24.19,318.12
WMB,23.55,17.82,-24.32,26.04
CCL,61.84,46.78,-24.36,20.12
PXD,161.60,122.17,-24.40,181.88
CTLT,41.37,31.18,-24.63,128.03
LRCX,173.07,130.14,-24.80,719.15
KEY,17.36,12.99,-25.18,23.13
MGM,31.58,23.60,-25.25,44.88
FANG,116.98,87.02,-25.61,107.85
EA,105.48,78.41,-25.66,131.90
CAH,53.64,39.79,-25.82,51.49
FB,177.68,131.09,-26.22,336.35
ATVI,61.99,45.67,-26.32,66.53
EBAY,36.66,26.95,-26.46,66.50
PRU,95.51,70.12,-26.58,108.24
APTV,82.98,60.77,-26.75,164.95
MO,54.13,39.41,-27.18,47.39
TER,42.64,30.89,-27.55,163.53
CFG,36.24,26.06,-28.07,47.25
SEE,46.48,33.25,-28.46,67.47
NVR,3410.00,2436.99,-28.53,5908.87
IP,50.12,35.75,-28.66,46.98
DVA,72.27,51.46,-28.79,113.76
MCK,150.05,106.79,-28.83,248.57
SWK,159.49,113.47,-28.85,188.62
STZ,216.75,154.20,-28.85,250.97
LUV,64.44,45.81,-28.92,42.84
SWKS,90.01,63.83,-29.09,155.14
C,66.97,47.45,-29.13,60.39
CPB,42.77,30.27,-29.23,43.46
NWSA,15.58,11.00,-29.38,22.31
PKG,107.79,76.10,-29.39,136.15
AOS,57.39,40.42,-29.57,85.85
NWS,15.92,11.19,-29.67,22.50
TAP,75.85,52.74,-30.47,46.35
BKR,27.91,19.38,-30.57,24.06
BWA,48.02,32.96,-31.35,45.07
DHI,49.01,33.49,-31.66,108.45
NVDA,48.54,33.16,-31.69,294.11
GIS,51.19,34.96,-31.71,67.38
NLOK,15.44,10.46,-32.23,25.98
PVH,137.03,92.67,-32.37,106.65
AIG,53.43,36.03,-32.56,56.86
NLSN,32.21,21.68,-32.68,20.51
MAS,41.91,28.14,-32.86,70.22
LNC,69.67,46.70,-32.97,68.26
TSN,74.67,49.80,-33.29,87.16
PM,84.16,56.10,-33.34,95.00
F,10.70,7.01,-34.45,20.77
GS,240.05,157.07,-34.56,382.55
INCY,97.36,63.59,-34.68,73.40
WHR,149.25,97.45,-34.70,234.66
STT,88.54,57.65,-34.88,93.00
DXC,79.05,51.41,-34.96,32.19
FDX,237.97,154.69,-34.99,258.64
VTRS,41.38,26.77,-35.30,13.53
PFG,60.09,38.72,-35.55,72.33
AMAT,48.93,31.50,-35.62,157.36
WY,30.96,19.71,-36.34,41.18
NXPI,112.25,70.72,-36.99,227.78
APA,39.34,24.77,-37.02,26.89
AMP,156.05,97.89,-37.26,301.66
AAL,51.00,31.60,-38.03,17.96
SYF,35.10,21.72,-38.10,46.39
HBI,18.26,11.26,-38.30,16.72
NWL,25.99,15.99,-38.49,21.84
LEN,62.25,38.23,-38.57,116.16
WRK,55.93,34.24,-38.78,44.36
WYNN,155.35,94.92,-38.89,85.04
ALB,121.44,73.62,-39.37,233.77
PENN,31.46,18.83,-40.14,51.85
IR,34.17,20.44,-40.18,61.87
URI,172.92,102.53,-40.70,332.29
CAG,33.91,19.67,-41.99,34.15
LKQ,40.86,23.62,-42.17,60.03
KHC,64.28,36.89,-42.59,35.90
XRAY,63.94,36.35,-43.14,55.79
FBHS,65.28,36.47,-44.13,106.90
HAL,45.50,25.17,-44.66,22.87
FCX,18.35,10.02,-45.35,41.73
DVN,36.17,19.67,-45.59,44.05
SLB,59.87,32.45,-45.79,29.95
IPGP,214.14,113.29,-47.09,172.14
DISH,48.41,24.97,-48.41,32.44
IVZ,30.74,14.62,-52.42,23.02
WDC,73.93,35.12,-52.49,65.21
BBWI,52.86,23.78,-54.99,69.79
GE,130.28,57.68,-55.71,94.47
MHK,277.04,116.96,-57.78,182.18
